"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
0,8.1334938784038968e-11,5.9663385343355912e-11,-1.4084566846150892e-10
50,277.12812921107815,277.12812921091296,277.1281292108597
100,2.6411559030746119e-10,1.3988663458647313e-10,3.2656827092015239e-10
150,7.3816097157794692e-11,1.8220930074852703e-10,1.0849887283236277e-10
200,1.2241909696376591e-10,1.9951949317906243e-10,1.1019051378627132e-10
250,2.7994821813943804e-10,4.2306004370948914e-10,1.559669563301039e-10
300,1.1478161469531957e-10,1.0561491933597669e-10,4.9700787231470638e-11
350,1.7346530154378504e-10,7.6706844411080136e-11,1.2726336622705906e-10
400,7.8120575985220435e-11,9.429836331767364e-11,8.983680512451018e-11
450,1.3072873593383953e-10,2.8779423959685104e-11,1.1715152775594854e-10
500,1.0523678425725083e-10,2.6403083316050832e-11,9.8736988953140283e-11
550,3.4200831925961855e-10,2.4837321691557193e-10,4.0358757554578266e-10
600,2.2953508592914442e-10,8.8290986912112855e-11,1.4785732713774305e-10
650,1.6321578809564672e-10,1.6958108259422077e-10,1.1827480591241343e-10
700,1.0003591646052504e-10,9.8578625428365482e-11,1.0690365006488145e-10
750,7.6194146640481838e-11,1.0305903298213591e-10,7.575927055884088e-11
800,1.2937707344869304e-10,1.1319426290046592e-10,2.4237003088431929e-10
850,1.9646685055503382e-10,1.7988740595696552e-10,1.9095833592103155e-11
900,2.2311551474232999e-10,2.133353352703991e-10,1.957611783105373e-10
950,1.4818498798437532e-10,1.2956457368830125e-11,1.5853909861095044e-10
1000,1.019213342785139e-10,3.9559233974240382e-11,9.537012855088511e-11
1050,5.0686059772828941e-11,1.5638311663390526e-10,1.3849286663806507e-10
1100,1.256025934214971e-10,2.634045366238341e-10,1.4024545124416285e-10
1150,2.2513712123606243e-10,1.4721416122632858e-10,2.0748709087058282e-10
1200,4.9021368249809163e-11,3.8897541099291864e-11,8.5378656012322697e-11
1250,1.3813725597932965e-10,1.4733919724800258e-10,1.9188454351273512e-10
1300,1.7468823201330774e-10,1.3049572143620917e-10,8.0316871981939433e-11
1350,3.5840268683864305e-10,2.7781375321626708e-10,1.2839087582302041e-10
1400,9.1086014621889873e-11,1.7310783243164714e-10,2.0826494388940373e-10
1450,2.7792224524894479e-10,1.4067184049897498e-10,2.4334282217373005e-10
1500,1.0450118216315406e-10,2.7708796397964568e-10,1.7414970898877756e-10
1550,1.6906640157617498e-10,1.6507444493748387e-10,2.3411140116601149e-10
1600,7.1980534440974525e-11,8.4379126704541946e-11,1.5398135574576092e-10
1650,9.0868400858619498e-11,3.5572470434919311e-11,1.0393919990707755e-10
1700,4.7354248646530622e-11,9.1114295915874705e-11,9.5257884850034756e-11
1750,1.2865554691532283e-10,6.8209008550473794e-11,7.4448112490106214e-11
1800,9.8543078981780937e-11,1.0400834272783246e-10,2.9393642033080552e-11
1850,1.1740059452120578e-10,1.833710049268279e-10,2.2946405424247482e-10
1900,9.1793301947033435e-11,1.71769250899364e-10,2.0560868070642464e-10
1950,1.8477809710520335e-10,9.7478863226796605e-11,1.3542200861584422e-10
2000,7.8350192566971306e-11,8.3038751400634009e-11,4.028289411857422e-11
2050,1.2734384254178718e-10,2.5641178609307269e-10,1.3499243264164227e-10
2100,6.1259827648494091e-11,1.2539221844446696e-10,6.4227148581656271e-11
2150,1.5418240872729987e-10,1.1814857882062057e-10,1.2014747389943363e-10
2200,1.4078105079630571e-10,3.6510828404371564e-11,1.5757349530461455e-10
2250,8.3573577355354018e-11,1.0864940487990124e-10,9.5208640877849125e-11
2300,5.2516977914136898e-11,6.9546455411994271e-11,3.0160531000992693e-11
2350,9.019342476910969e-11,1.5212946440929992e-10,2.1919593608520662e-10
2400,1.6258599906396283e-10,1.2869991756469418e-10,4.7566353989982118e-11
2450,2.9542123908780155e-10,2.7012923863588498e-10,2.4877793331344423e-10
2500,1.9378987553414947e-10,1.4096065254359832e-10,5.5783794239664234e-11
2550,2.5722439650635452e-10,2.4310055865258754e-10,1.2229132038008358e-10
2600,8.9441952368810269e-11,1.0846619806590369e-10,1.2658911330965183e-10
2650,6.3312941210658032e-11,1.1822750367932319e-10,1.3454562676106651e-10
2700,1.3069631399270812e-10,9.979065011745635e-11,4.1249850450127239e-11
2750,1.8997424671219025e-10,1.1004293107945829e-10,1.0852765869483103e-10
2800,7.8105479115584955e-11,1.2715012239638821e-10,8.1996938054895277e-11
2850,2.2521026799741747e-11,5.1799084999064879e-11,7.3176768525953159e-11
2900,1.0939801509088099e-10,2.6251770380451122e-10,1.6943863172221551e-10
2950,2.405138421169542e-10,2.7812144835064034e-10,7.5212699834818959e-11
3000,1.045176963495959e-10,1.3457499548491579e-10,9.0989728922071488e-11
3050,1.1845798096801346e-10,4.0980470160355744e-11,7.7529331954218039e-11
3100,4.4766691166217376e-11,1.4741311353902115e-10,1.0302437110569605e-10
3150,2.6882017246780143e-10,9.9634046976675329e-11,2.49410586023589e-10
3200,4.5730544927701272e-11,1.1980162580834966e-10,1.2048205376167768e-10
3250,8.9766965214129935e-11,1.7157929753113494e-10,2.0107541262705435e-10
3300,1.38147037167502e-10,5.2062678107815413e-11,8.9297668229615207e-11
3350,1.0298140512928129e-10,4.5689876508203185e-11,7.549691675283804e-11
3400,1.8009439635523732e-10,2.4661577870417703e-11,1.5711010309286506e-10
3450,9.9421716915935528e-11,1.2273831870083413e-10,3.7402469283704886e-11
3500,2.0838571749032198e-10,9.9157265884567199e-11,1.7531287646094427e-10
3550,9.9588431971277008e-11,1.9729587283994789e-10,1.2052122652794085e-10
3600,4.0926807766464952e-10,3.5013381208147849e-11,3.7483948057057081e-10
3650,1.0965014618073232e-10,6.9914971610691201e-11,3.9958651731263166e-11
3700,1.5202525017621222e-10,7.3680182423404132e-11,1.7475855012789823e-10
3750,1.260736767446964e-10,8.5737010094897261e-11,1.4012163565118255e-10
3800,1.6122957050815385e-10,9.8928200279879632e-11,1.1339348664474801e-10
3850,7.7814454834962637e-11,1.0505801890416288e-10,7.6598988505829045e-11
3900,1.0846038929252939e-10,1.406942515068875e-10,9.286861347681612e-11
3950,1.7339114897447064e-10,8.4152794585505617e-11,2.2294696722836107e-10
4000,6.8874437437093467e-11,6.6190802782504682e-11,3.5733782081750229e-11
4050,1.5305699908048808e-10,1.6109299210221474e-10,1.7404385021829174e-10
4100,2.4273911283631758e-10,2.6174096310655026e-10,1.1300338603727056e-10
4150,1.4514864718293069e-10,1.3881894608339422e-10,8.919118979670446e-11
4200,3.7637924995875919e-11,7.7580972489379021e-11,1.005476814436077e-10
4250,1.3312777073599755e-10,8.646229258536449e-11,2.0642174416240192e-10
4300,7.7636782853703945e-11,9.0095950777707088e-11,7.4473329709003727e-11
4350,5.2531859540108963e-11,1.5761821290292996e-10,1.2190521531116713e-10
4400,4.000614939814908e-11,6.5456938103732691e-11,9.4248013172658528e-11
4450,1.5434271940577656e-10,8.8431663605679606e-11,2.1092000530876719e-10
4500,1.1242428868686309e-06,1.1241745419426905e-06,1.1240451204411696e-06
4550,1.1188779224759492e-10,1.3713192001473865e-10,4.5440215735602518e-11
4600,0.00025428870812103715,0.00025428867557773685,0.00025428864171939868
4650,1.2368710250549577e-10,1.7442262635982432e-10,1.0436976317336178e-10
4700,1.1189118687400555e-10,1.1099356046394906e-10,6.0608483635043082e-11
4750,3.2764696439977738e-11,1.4130594881357795e-10,1.2455763168806632e-10
4800,2.6453879649833896,2.645387965070948,2.6453879650046561
4850,1.5710390879400582e-10,1.1168278273282508e-10,4.6480914825135003e-11
4900,76.156160518783636,76.156160518773675,76.156160518918355
4950,1.7624638584936796e-10,1.2743193771878115e-10,6.7255635039124767e-11
5000,2.2041362098094533e-10,1.8312701379238169e-10,9.132730805822892e-11
5050,3.0716302904403564e-10,1.3640804416371427e-10,3.3565952717656522e-10
5100,76.156160518732861,76.15616051873738,76.156160518821991
5150,4.2344609013549869e-11,7.2898335581872269e-11,1.1507404447204117e-10
5200,2.6453879652081738,2.6453879650952605,2.6453879652820005
5250,9.2076552825298809e-11,1.2363194559198635e-10,5.2836579262799977e-11
5300,1.9429271060418095e-10,1.518911731625092e-10,7.3689582313169194e-11
5350,7.0293306371665709e-11,1.192308450582384e-10,6.8778147083743006e-11
5400,0.00025428864671672491,0.00025428870689348236,0.00025428860398887717
5450,9.2097362930399531e-11,1.0570151261414615e-10,9.8067146036516248e-11
5500,1.1242868295124432e-06,1.1242899697326e-06,1.1243417104944295e-06
5550,1.2685878444164037e-10,6.7180595784048012e-11,8.3379921441057511e-11
5600,1.5759914279417434e-10,6.266905255198615e-11,1.1272440048197773e-10
5650,2.263711821948826e-10,1.5069130333123202e-10,3.1173976700729152e-10
5700,2.134045603090078e-10,1.0430818754547746e-10,1.9859588334365032e-10
5750,3.6470294425568211e-11,1.1053790525403426e-10,1.4698846190250397e-10
5800,9.0373140062739385e-11,1.0889560901034951e-10,6.7412419557748898e-11
5850,1.222143740326797e-10,8.0865772204601202e-11,6.6807486112609715e-11
5900,1.6609129063892795e-10,1.0107815967649245e-10,1.5200973583216224e-10
5950,2.1663951172063732e-10,2.0220282182692393e-10,1.969905554953461e-10
6000,1.078202862716211e-10,2.9602896539969796e-10,2.4390830555622725e-10
6050,1.2489047845272812e-10,1.25299735002185e-10,9.3877813750723663e-11
6100,8.4562334615477144e-11,1.7254247192305112e-10,1.3758657901539937e-10
6150,2.4950984587644644e-10,2.5086882764457657e-10,1.3215312553457878e-10
6200,1.6797926839582884e-10,4.1098773694139359e-11,1.7067310858176065e-10
6250,6.7619226988695615e-11,1.353194077581098e-10,1.7310143636983194e-10
6300,1.3930014248640502e-10,1.819186309264891e-10,2.1204202238931572e-10
6350,1.0946130862660252e-10,1.456881153974951e-10,8.4178382816598023e-11
6400,1.5086542065077104e-10,2.2470210810128626e-10,2.3553877377416912e-10
6450,7.3577117334319962e-11,1.2044705438766455e-10,7.5382008039770752e-11
6500,2.4175446851614807e-10,1.0178427863231336e-10,1.6927794514881171e-10
6550,1.8841725722344523e-10,1.8461293328757435e-11,1.7643482874955108e-10
6600,1.4543201497789263e-10,1.8375388680224812e-10,5.7549351799723901e-11
