"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
6600,1.5598867166076726e-10,6.0236258076844241e-11,1.5532195211440381e-10
6650,4.8082651680468708e-11,1.7409179326513476e-10,1.7209105736978014e-10
6700,7.6028148697840725e-11,4.5325923283323977e-11,3.5637820435208272e-11
6750,1.3168134995169285e-10,7.7864150693095263e-11,2.0063083364465017e-10
6800,2.5616566910171996e-10,2.0771508717822878e-10,1.2754717707553509e-10
6850,6.1298886156242554e-11,1.811922801234202e-10,2.3654568185087624e-10
6900,9.9899149932674076e-11,1.1549280347139956e-10,1.5644581575038478e-10
6950,1.8108484680342613e-10,9.4836030041228234e-11,1.5555599385271383e-10
7000,2.0033873103332644e-10,2.5581872627396346e-10,6.2101832534494419e-11
7050,1.6233985709052925e-10,1.5836840518412476e-10,1.1704318482110292e-10
7100,1.3821443552440321e-10,9.0973181761720038e-11,5.3809015874050042e-11
7150,8.8434989232796092e-11,1.4381853040236515e-10,1.9152169055963706e-10
7200,8.7212293044229141e-11,1.6629146649828332e-10,1.6437320197422138e-10
7250,1.3805217238913811e-10,1.2755091782518118e-10,1.9724615507808016e-10
7300,1.4605036344241857e-10,6.2280140106217933e-11,1.0987854446540644e-10
7350,9.1443302034055455e-11,6.6124516687024858e-11,3.9017137265313528e-11
7400,5.8077637181000231e-11,1.1687213135165374e-10,1.7494525336943904e-10
7450,1.3257010827259132e-10,1.0099265412708093e-10,1.6445828122125668e-10
7500,1.1168066039691329e-10,1.5027022272309498e-11,1.0067486354418409e-10
