"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
2300,1.1638359776562746e-10,2.0373616020152394e-10,1.3593498109897484e-10
2350,1.1388637404846952e-10,3.7964396037549174e-11,1.0511573189442292e-10
2400,2.2048042557099105e-10,3.9509848277986127e-11,2.5992076051028316e-10
2450,9.5441286714410913e-11,8.4300823662917496e-11,9.1706796644917631e-11
2500,1.3027823659929626e-10,1.7223850069015946e-11,1.4017311987919876e-10
2550,3.5751814223367226e-10,9.0879167449340423e-11,2.7134493313237355e-10
2600,1.8646386249961584e-10,1.4688854148722277e-10,1.0067211982057465e-10
2650,2.8977088916591823e-10,2.4495724155659086e-10,1.4399021941331092e-10
2700,1.5594124888796885e-10,1.027622945780843e-10,2.0760759973134392e-10
2750,1.6285807587243106e-10,2.9218826191949231e-10,1.341212485771442e-10
2800,7.6903770329061552e-11,7.339074729284395e-11,7.0657569644683829e-11
2850,1.4195386367048401e-10,2.2044249885692414e-10,1.9766683956637493e-10
2900,8.6146252023821925e-11,9.9770177162271989e-11,4.420876468881e-11
2950,8.9028759542900029e-11,4.9183433628157599e-11,4.3094698753124322e-11
3000,2.7902704484509806e-10,2.3733943987861529e-10,3.2755001804735544e-10
3050,5.2872441996553909e-11,1.7196725355821491e-10,1.6690895455943939e-10
3100,1.2342222374722939e-10,2.2254720000270331e-10,1.3117158954848478e-10
3150,1.1998338961935551e-10,2.1123583606854909e-10,2.3164026327946169e-10
3200,4.2295217308396e-11,8.4716910919039012e-11,1.1011296778600853e-10
3250,1.0513557777122991e-10,7.3685181727348065e-11,1.7805520439998187e-10
3300,8.3601156175873225e-11,1.0685144346382521e-10,9.5153649487973704e-11
3350,9.5194314407852353e-11,1.7306706716443813e-10,1.5376551903164889e-10
3400,1.707892136053531e-10,1.5973798249103227e-10,7.451791359105787e-11
3450,1.425792862450123e-10,8.2531270763950818e-11,6.3195303986252403e-11
3500,2.1829344828868485e-10,3.0020641705966637e-11,1.9086254982037503e-10
3550,1.7076486001389617e-10,2.8035600170704908e-10,1.244381597547757e-10
3600,2.4511444926753463e-10,1.3044534332996458e-10,2.0603850724349867e-10
3650,1.5048255839475594e-10,1.2434777551547973e-10,1.16843578655736e-10
3700,3.259984517296484e-11,8.5436304643632934e-11,1.0825698939426164e-10
3750,1.6431669118926907e-10,1.8215181339169457e-10,3.2045351264245911e-10
3800,8.6475599868940083e-11,1.7043079443007855e-10,1.400908103879218e-10
3850,7.6205961817449494e-11,5.6144184511110472e-11,1.0755710621818972e-10
3900,9.5759865694220306e-11,2.3200302555993728e-10,1.395565912757242e-10
3950,4.7488377265799467e-11,9.1472265733962906e-11,9.1047698770242528e-11
4000,7.9837956524003979e-11,7.2824319193220582e-11,2.6624018116782083e-11
4050,1.2753551417522905e-10,7.7402881803542997e-11,6.2725458388952513e-11
4100,2.4724309633733371e-10,3.1620215573531361e-10,1.1551539983229103e-10
4150,3.8974901402673287e-11,8.1398090815352583e-11,7.0158564011109816e-11
4200,1.4563785436761019e-10,2.7940099329850759e-11,1.6251487115807583e-10
