"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
1800,6.8358798526132534e-11,5.7523439991418222e-11,5.919998571258558e-11
1850,1.1124631804812411e-10,1.623590484281806e-10,8.6615715111253242e-11
1900,1.8369967945742578e-10,2.5657882317704266e-10,2.205016794942687e-10
1950,8.0853824564566053e-11,2.2010068228577214e-11,7.5734013987354564e-11
2000,1.3964519586279477e-10,1.3750247402202739e-10,9.2038910653717068e-11
2050,2.3180480589159494e-10,1.4607000088840898e-10,1.9437535211927496e-10
2100,5.2812367291970056e-11,1.2415606781979154e-10,1.7290629363126712e-10
2150,3.4878339741318668e-11,5.6517181467250401e-11,2.9379332691172961e-11
2200,6.8154862744613454e-11,2.0668750548773119e-10,1.7816584997725474e-10
2250,1.8287895184438741e-10,1.5872630812333441e-10,2.053559902086986e-10
2300,1.2011057195859812e-10,2.7798523894535954e-10,1.623099909877727e-10
2350,1.1934682522145908e-10,1.3966843855522207e-10,2.418561313940113e-10
2400,3.4386414243541383e-10,1.0833802893263224e-10,4.4888983693250808e-10
2450,1.617984193748478e-10,6.9601496550764209e-11,1.1360459570317668e-10
2500,1.9688813105748592e-10,1.9185931828512611e-10,2.9870554627362943e-10
2550,2.2467429021166176e-10,1.0408066714605419e-10,1.3679320970446013e-10
2600,1.033186201774014e-10,1.9177162173794718e-10,2.0163246676454055e-10
2650,3.5660878090988628e-10,3.2506036318068457e-10,4.427136464883733e-11
2700,1.6819275974310307e-10,1.801370205165631e-10,3.3046822787136798e-11
2750,1.8791272932334841e-10,1.8085734992533818e-10,1.3547185505583323e-10
2800,1.321394479606066e-10,1.5919167325466182e-10,1.0264208305491259e-10
2850,8.9874509219170312e-11,1.1178380649680884e-10,9.8050813418243544e-11
2900,8.4411647709693769e-11,1.3094504306213187e-10,1.2784133277943113e-10
2950,8.2045016947353485e-11,4.6291681959258425e-11,1.0992432829071732e-10
3000,9.0196219440522523e-11,4.7728007947462502e-11,6.4377521341938188e-11
3050,1.5026506285402629e-10,1.0473745926610251e-10,1.3618016356485676e-10
3100,2.0094416895698909e-10,7.3621782908914026e-11,1.6169320005300467e-10
3150,2.4452253683007131e-10,1.3749341777795081e-10,2.0848630296769941e-10
3200,7.6397054997375591e-11,1.4099715627974351e-11,9.0060339609525902e-11
3250,2.0260472684941146e-10,3.7188308862220105e-10,1.6932393651059467e-10
3300,8.2540664149604534e-11,1.1422947411050608e-10,3.2977641377864157e-11
3350,1.3176439455774308e-10,6.6865300558917111e-11,9.0112284679161463e-11
3400,8.78965559915141e-11,1.6802092325519649e-10,1.9547702237067073e-10
3450,1.0093754861280634e-10,6.8058323700739313e-11,1.3776365664301463e-10
3500,5.7168700959071492e-11,1.3411620141761479e-10,1.0789271410494472e-10
3550,2.5652443779336956e-10,1.3324083650514823e-10,3.7117043531851861e-10
3600,9.0018115674818332e-11,6.3274186881887551e-11,6.6220357651645866e-11
3650,7.4644265740162401e-11,9.0796906430083108e-11,2.2339115150635089e-11
3700,2.1112777762242961e-10,1.6599102245588066e-10,8.0732766761976081e-11
3750,5.4945657151640109e-11,2.0548539098756534e-10,1.8719218121787856e-10
3800,9.9452099023650082e-11,9.477734694286663e-11,4.6512209438993067e-11
3850,1.6450710296559606e-10,1.1974265721351169e-11,1.5912074107105034e-10
3900,7.3020985754841603e-11,3.5254479203396425e-11,3.838771902244946e-11
3950,7.523153831969152e-11,1.1496899150663411e-10,1.1687278254804505e-10
4000,1.778069992500451e-10,1.4986590595694108e-10,1.2619188258734414e-10
4050,1.5729177813263163e-10,9.6538691564323885e-11,1.6789768343982609e-10
4100,7.9845441030217075e-11,1.7631650566014618e-10,1.4496283200828635e-10
4150,1.3481413002057396e-10,3.2395171179847144e-11,1.025846282049493e-10
4200,2.8865667447137848e-10,1.1074442783507099e-10,2.4828747466483014e-10
4250,7.237016196206279e-11,4.017591846743652e-11,1.1136844340410303e-10
4300,1.3289383177583871e-10,7.0611254366102555e-11,2.0348815133739476e-10
4350,7.85228770999764e-11,5.9839923569998138e-11,2.8197848723871078e-11
4400,2.1336030955039318e-10,2.7515556884834096e-10,8.6128739062606619e-11
4450,7.2264896731603137e-11,5.2286337882547578e-11,8.3072970380452752e-11
4500,6.4370930410745055e-08,6.424410821130842e-08,6.4227698727350051e-08
4550,3.4838488583340659e-11,8.0522307830775298e-11,1.022107995442727e-10
4600,2.5952475576024841e-05,2.595269159431945e-05,2.5952608137942417e-05
4650,7.154993291197283e-11,1.0180242096849982e-10,1.543569337354717e-10
4700,1.6545189313439181e-10,2.3559921892249766e-10,1.4394803112727002e-10
4750,8.0813693131591494e-11,7.1032244066465244e-11,7.608633006797992e-11
4800,0.86674952376119319,0.86674952394146887,0.86674952390949356
4850,2.388672088455551e-10,2.2567746381756844e-10,4.8597938791484361e-11
4900,45.446681786087211,45.446681786201189,45.446681786151537
4950,8.4416745281012854e-11,1.5615990094970007e-10,8.2066619831462216e-11
5000,3.1197050935565671e-10,3.8017726626329798e-10,2.8409691398550614e-10
5050,2.0342614116530657e-10,1.4762462418032065e-10,1.5788733996679738e-10
5100,45.446681786382015,45.446681786380061,45.446681786303564
5150,1.40465599087589e-10,2.1886713781591502e-10,1.0073698034236792e-10
5200,0.86674952390560267,0.86674952377547421,0.86674952395746019
5250,9.8198957068176517e-11,6.0547637468708052e-11,1.4680485564693048e-10
5300,3.6990942039839409e-10,9.1933828122500524e-11,4.0953641641807902e-10
5350,9.4873963736221413e-11,1.3747522755670792e-10,5.6756122788061506e-11
5400,2.5952620617553264e-05,2.5952529005691721e-05,2.5952607610758655e-05
5450,1.1272688482533033e-10,3.4357838625098868e-11,1.3458081164041124e-10
5500,6.4341073428393802e-08,6.4315394374045187e-08,6.4333682762156656e-08
5550,1.2224406432225282e-10,2.4257280667209821e-10,1.5870285760730258e-10
5600,2.3034443187094574e-10,8.3289325900644302e-11,1.8758812243950862e-10
5650,2.1762665346847015e-10,1.1577002472576144e-10,1.1461142268250865e-10
5700,1.6970112913813254e-10,2.0241009489264334e-10,2.019504359528078e-10
5750,7.0881604748305297e-11,4.3357396893642341e-11,3.3400811641073045e-11
5800,2.2830360002974308e-10,2.8823888504238404e-10,2.9459655456605713e-10
5850,1.6161048844052346e-10,9.7448907621244452e-13,1.6143288928610946e-10
5900,3.0499888724914901e-11,2.0064942320261767e-10,2.0237596008668075e-10
5950,2.7246807745403213e-10,9.0002585843267853e-11,3.5559382782915435e-10
6000,1.1739952699951397e-10,4.9173002875315045e-11,8.4345496959856553e-11
6050,9.5520302298286838e-11,1.3942790512031616e-10,1.5499704680133429e-10
6100,1.3193115768132318e-10,1.5214429358955935e-10,1.5537095989419338e-10
6150,4.132305698957629e-11,1.5893375192581664e-10,1.6406223153631088e-10
6200,1.0752934000864615e-10,2.3582108256321953e-10,1.8289409902828414e-10
6250,7.8447473309424104e-11,7.0537437604788707e-11,8.1672002676473972e-11
6300,7.2435054977939861e-11,1.0677813793619186e-10,1.6366327467500851e-10
6350,1.6504302145678132e-10,1.6683507212476767e-10,1.2888994554418121e-10
6400,3.2046564328321628e-10,2.3013284828251322e-10,3.3305223350592501e-10
6450,1.0759002288500396e-10,1.8394140257088189e-11,1.2255796188801385e-10
6500,1.3714309359230511e-10,1.872041510042899e-10,1.4666983762109014e-10
6550,2.8443754032746711e-10,1.6276143675508866e-10,2.1863561112806383e-10
6600,1.1502218057192003e-10,3.7501960480748293e-11,1.2745839683715331e-10
6650,7.0612055248838423e-12,1.9597683751867505e-10,1.894821970717962e-10
6700,9.5806072192335917e-11,5.3091584978795281e-11,5.0097611602323665e-11
